# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618426069176,6021120,7221248,46,31
1618426070454,6021120,7221248,46,31
1618426071737,6021120,7221248,46,31
1618426072995,6021120,7221248,46,31
1618426074231,6021120,7221248,46,31
1618426075494,6021120,7221248,46,31
1618426076780,6021120,7221248,46,31
1618426078048,6021120,7221248,46,31
1618426079342,6021120,7221248,46,31
1618426080640,6021120,7221248,46,31
1618426081885,6021120,7221248,46,31
1618426083128,6021120,7221248,46,31
1618426084376,6021120,7221248,46,31
1618426085720,6021120,7221248,46,31
1618426087055,6021120,7221248,46,31
1618426088364,6021120,7221248,46,31
1618426089644,6021120,7221248,46,31
1618426090927,6021120,7221248,46,31
1618426092215,6021120,7221248,46,31
1618426093472,6021120,7221248,46,31
1618426094724,6021120,7221248,46,31
1618426095977,6021120,7221248,46,31
1618426097235,6021120,7221248,46,31
1618426098478,6021120,7221248,46,31
1618426099783,6021120,7221248,46,31
1618426101096,6021120,7221248,46,31
1618426102340,6021120,7221248,46,31
1618426103606,6021120,7221248,46,31
1618426104859,6021120,7221248,46,31
1618426106134,6021120,7221248,46,31
1618426107405,6021120,7221248,46,31
1618426108631,6021120,7221248,46,31
1618426109851,6021120,7221248,46,31
1618426111099,6021120,7221248,46,31
1618426112371,6021120,7221248,46,31
1618426113584,6021120,7221248,46,31
1618426114824,6021120,7221248,46,31
1618426116053,6021120,7221248,46,31
1618426117289,6021120,7221248,46,31
1618426118567,6021120,7221248,46,31
1618426119824,6021120,7221248,46,31
1618426121055,6021120,7221248,46,31
1618426122302,6021120,7221248,46,31
1618426123552,6021120,7221248,46,31
1618426124833,6021120,7221248,46,31
1618426126122,6021120,7221248,46,31
1618426127418,6021120,7221248,46,31
1618426128832,6021120,7221248,46,31
1618426130200,6021120,7221248,46,31
1618426131578,6021120,7221248,46,31
1618426132964,6021120,7221248,46,31
1618426134235,6021120,7221248,46,31
1618426135504,6021120,7221248,46,31
1618426136841,6021120,7221248,46,31
1618426138146,6021120,7221248,46,31
1618426139428,6021120,7221248,46,31
1618426140718,6021120,7221248,46,31
1618426142007,6021120,7221248,46,31
1618426143334,6021120,7221248,46,31
1618426144610,6021120,7221248,46,31
1618426145911,6021120,7221248,46,31
1618426147180,6021120,7221248,46,31
1618426148454,6021120,7221248,46,31
1618426149737,6021120,7221248,46,31
1618426151004,6021120,7221248,46,31
1618426152290,6021120,7221248,46,31
1618426153571,6021120,7221248,46,31
1618426154947,6021120,7221248,46,31
1618426156252,6021120,7221248,46,31
1618426157547,6021120,7221248,46,31
1618426158828,6021120,7221248,46,31
1618426160097,6021120,7221248,46,31
1618426161388,6021120,7221248,46,31
1618426162747,6021120,7221248,46,31
1618426164031,6021120,7221248,46,31
1618426165336,6021120,7221248,46,31
1618426166601,6021120,7221248,46,31
1618426167870,6021120,7221248,46,31
1618426169190,6021120,7221248,46,31
1618426170481,6021120,7221248,46,31
1618426171760,6021120,7221248,46,31
1618426173016,6021120,7221248,46,31
1618426174278,6021120,7221248,46,31
1618426175538,6021120,7221248,46,31
1618426176852,6021120,7221248,46,31
1618426178138,6021120,7221248,46,31
1618426179417,6021120,7221248,46,31
1618426180679,6021120,7221248,46,31
1618426181932,6021120,7221248,46,31
1618426183189,6021120,7221248,46,31
1618426184448,6021120,7221248,46,31
1618426185725,6021120,7221248,46,31
1618426187041,6021120,7221248,46,31
1618426188510,6021120,7221248,46,31
1618426189790,6021120,7221248,46,31
1618426191155,6021120,7221248,46,31
1618426192478,6021120,7221248,46,31
1618426193787,6021120,7221248,46,31
1618426195082,6021120,7221248,46,31
1618426196325,6021120,7221248,46,31
1618426197612,6021120,7221248,46,31
1618426198914,6021120,7221248,46,31
1618426200178,6021120,7221248,46,31
1618426201439,6021120,7221248,46,31
1618426202710,6021120,7221248,46,31
1618426203993,6021120,7221248,46,31
1618426205295,6021120,7221248,46,31
1618426206541,6021120,7221248,46,31
1618426207801,6021120,7221248,46,31
1618426209083,6021120,7221248,46,31
1618426210371,6021120,7221248,46,31
1618426211657,6021120,7221248,46,31
1618426212941,6021120,7221248,46,31
1618426214326,6021120,7221248,46,31
1618426215618,6021120,7221248,46,31
1618426216895,6021120,7221248,46,31
1618426218197,6021120,7221248,46,31
1618426219532,6021120,7221248,46,31
1618426220875,6021120,7221248,46,31
1618426222195,6021120,7221248,46,31
1618426223523,6021120,7221248,46,31
1618426224793,6021120,7221248,46,31
1618426226147,6021120,7221248,46,31
1618426227384,6021120,7221248,46,31
1618426228606,6021120,7221248,46,31
1618426229891,6021120,7221248,46,31
1618426231145,6021120,7221248,46,31
1618426232441,6021120,7221248,46,31
1618426233717,6021120,7221248,46,31
1618426235028,6021120,7221248,46,31
1618426236517,6021120,7221248,62,31
1618426237924,6021120,7221248,62,31
1618426239281,6021120,7221248,62,31
1618426240574,6021120,7221248,62,31
1618426241902,6021120,7221248,62,31
1618426243279,6021120,7221248,62,31
1618426244651,6021120,7221248,62,31
1618426245961,6021120,7221248,62,31
1618426247315,6021120,7221248,62,31
1618426248616,6021120,7221248,62,31
1618426250010,6021120,7221248,62,31
1618426251532,6021120,7221248,62,31
1618426252802,6021120,7221248,62,31
1618426254085,6021120,7221248,62,31
1618426255640,6021120,7221248,62,31
1618426257099,6021120,7221248,62,31
1618426258556,6021120,7221248,62,31
1618426260025,6021120,7221248,62,31
1618426261513,6021120,7221248,62,31
1618426262974,6021120,7221248,62,31
1618426264401,6021120,7221248,62,31
1618426265761,6021120,7221248,62,31
1618426267024,6021120,7221248,62,31
1618426268309,6021120,7221248,62,31
1618426269691,6021120,7221248,62,31
1618426271086,6021120,7221248,62,31
1
