# timestamp,line
1618426091439,1618426091432446976-55.30
1618426091439,1618426091432446976-20.50
1618426091439,1618426091432446976-19.70
1618426092442,1618426092432446976-58.80
1618426092442,1618426092432446976-63.10
1618426092442,1618426092432446976-21.00
1618426092447,1618426092432446976-19.50
1618426093437,1618426093432446976-20.60
1618426093438,1618426093432446976-56.30
1618426093438,1618426093432446976-65.60
1618426093438,1618426093432446976-21.50
1618426094441,1618426094432446976-22.00
1618426094441,1618426094432446976-63.50
1618426094441,1618426094432446976-20.40
1618426094441,1618426094432446976-77.20
1618426095444,1618426095432446976-76.80
1618426095444,1618426095432446976-62.20
1618426095445,1618426095432446976-23.70
1618426095445,1618426095432446976-22.50
1618426096442,1618426096432446976-22.00
1618426096442,1618426096432446976-23.00
1618426096442,1618426096432446976-68.10
1618426096442,1618426096432446976-84.90
1618426097441,1618426097432446976-81.00
1618426097441,1618426097432446976-24.50
1618426097442,1618426097432446976-73.60
1618426097442,1618426097432446976-24.20
1618426098440,1618426098432446976-26.10
1618426098440,1618426098432446976-89.70
1618426098440,1618426098432446976-24.30
1618426098440,1618426098432446976-72.90
1618426099445,1618426099432446976-76.40
1618426099445,1618426099432446976-93.30
1618426099445,1618426099432446976-25.30
1618426099445,1618426099432446976-22.70
1618426100434,1618426100432446976-19.90
1618426100434,1618426100432446976-24.80
1618426100434,1618426100432446976-74.80
1618426100434,1618426100432446976-78.70
1618426101437,1618426101432446976-74.30
1618426101437,1618426101432446976-59.40
1618426101437,1618426101432446976-17.30
1618426101439,1618426101432446976-22.90
1618426102436,1618426102432446976-20.00
1618426102436,1618426102432446976-19.30
1618426102436,1618426102432446976-61.70
1618426102436,1618426102432446976-50.00
1618426103437,1618426103432446976-20.50
1618426103437,1618426103432446976-59.40
1618426103438,1618426103432446976-19.70
1618426103438,1618426103432446976-55.30
1618426104441,1618426104432446976-19.50
1618426104441,1618426104432446976-21.00
1618426104441,1618426104432446976-58.80
1618426104441,1618426104432446976-63.10
1618426105439,1618426105432446976-20.60
1618426105439,1618426105432446976-65.60
1618426105439,1618426105432446976-56.30
1618426105439,1618426105432446976-21.50
1618426106435,1618426106432446976-22.00
1618426106435,1618426106432446976-63.50
1618426106437,1618426106432446976-77.20
1618426106437,1618426106432446976-20.40
1618426107446,1618426107432446976-22.50
